case_id,source_prompt_id,family,prompt_text,payload_condition,payload_mutation_needed,expected_intent,expected_answerability,expected_evidence_paths,expected_missing_fields,expected_warnings,expected_next_actions,expected_behavior_class,implementation_status,difficulty,label_rationale,ambiguity_notes
R2-001,001,OBJ,What's the total cost on this plan after the time windows got tighter?,clean,none,objective_value,answerable,action_objective;units.objective,,,,direct_answer,current,easy,"Run 1 prompt 001 is a clean OBJ value question with no comparative tokens; the locked OBJ payload carries action_objective and units.objective, so the contract should answer directly with evidence on those fields and no warnings.",
R2-002,002,OBJ,What did this end up costing compared to before?,clean,"Use the seed payload from Run 1 prompt 002 as-is. The prompt text is rewritten to use a *benign* comparator ('compared to before') instead of the original 'compared to running a full re-solve', so the natural-language comparator unambiguously refers to baseline_objective (the pre-perturbation Stage A cost).",objective_delta,answerable,baseline_objective;action_objective;objective_delta_absolute;objective_delta_percent;units.objective,,,,direct_answer,current,medium,"Exercises the OBJ escape hatch in answerability.py:_obj_delta_already_covered: the four inline OBJ delta fields make the comparison answerable without baseline_solution or diff. The comparator 'before' maps cleanly to baseline_objective per experiment/configs/payload_schemas_rationale.md:75 (pre-perturbation Stage A cost), so no comparison_referent_ambiguity warning fires. Calibration anchor for the convention that OBJ delta differs from STRUCT/SCHEDULE/PLAN_VALIDITY before/after.",The original Run 1 prompt 002 text ('compared to running a full re-solve') was split into R2-013 because that comparator does not match baseline_objective. R2-002 uses the benign rewrite to isolate the OBJ escape hatch from the comparator ambiguity.
R2-003,025,STRUCT,"After adding the new customer, which route did they end up getting assigned to?",missing_new_customer_ids,Remove new_customer_ids from the perturbation block of the seed payload (ORDER_CHANGE perturbation OC_2 on instance C104). All other fields including routes[].customer_ids remain intact.,new_customer_assignment,partially_answerable,,new_customer_ids,missing_new_customer_attribution,expose_new_customer_ids,useful_refusal,current,medium,"Intent classifier matches _is_about_new_customer_assignment (subject is the new customer, no specific route/customer number). Required fields are new_customer_ids and routes[].customer_ids; only routes[].customer_ids is present, so status is partially_answerable, the warning fires, and the next action is to expose perturbation.new_customer_ids in the product payload. The contract emits no answer-grounding evidence (evidence.py returns [] for new_customer_assignment), so the case is useful_refusal rather than partial_answer_with_warning.",
R2-004,029,STRUCT,Which route is customer 42 on after travel times went up 30%?,clean,none,single_customer_route_membership,answerable,routes[].customer_ids,,struct_membership_ambiguity,,direct_answer_with_warning,current,medium,"Family=STRUCT and the prompt names a specific customer with 'which route', so the intent is single_customer_route_membership. The payload has routes[].customer_ids, so the question is answerable; struct_membership_ambiguity always fires for this intent per refusal_policy.py.","R2-1 cleanup (disagreement log D-011): route_indexing_ambiguity was removed from the gold warning set because it fires only when answer_text contains an integer route reference. Run 2 evaluates the contract in contract-only mode (no generator answer_text), so an answer-text-dependent warning cannot belong in a fixed gold set without violating design §5a (gold warnings must not change based on sampled wording). Route display convention for the eventual rendered answer is graded by convention_consistency (metric 6.8), not by warning recall."
R2-005,033,STRUCT,"After tightening the time windows, did the number of vehicles needed actually change?",unsupported_comparison,"Use the seed payload as-is (STRUCT family, RC107 with TW_2 perturbation, no baseline_solution or diff fields).",before_after_comparison,not_answerable,,baseline_solution;diff,unsupported_comparison,build_baseline_comparison_payload,useful_refusal,current,easy,"Comparative tokens ('actually change') trigger before_after_comparison under STRUCT. Required fields baseline_solution and diff are absent and the OBJ escape hatch does not apply because the family is STRUCT, so status is not_answerable, the warning fires, and the next action is to build the comparison payload.",
R2-006,040,SCHEDULE,What time does route 1 wrap up after service times went up 100%?,convention_boundary,none,route_end_time,answerable,route_end_times[].end_time,,route_indexing_ambiguity,,direct_answer_with_warning,current,medium,"SCHEDULE family with 'wrap up' and 'route' → route_end_time. The payload supplies route_end_times[].end_time, so the question is answerable. route_indexing_ambiguity fires because the prompt names 'route 1' in the question text and prompt_id 040 is in _KNOWN_ROUTE_INDEXING_PROMPTS — both triggers are visible to refusal_policy.build_warnings without needing answer_text.","R2-1 cleanup (disagreement log D-012): the earlier gold listed route_end_times[].route_idx in addition to route_end_times[].end_time, which over-specified the evidence set — the contract emits a single route_end_times[route_idx=0].end_time item that normalises (schema §10a) to route_end_times[].end_time. Route_idx specificity is conveyed through the (stripped) predicate; whether that predicate names the right route_idx is a convention-consistency / future evidence_specificity concern, not an evidence-recall concern. A display-quality response should refer to the route as 'Route 1' (display_route_number = route_idx + 1)."
R2-007,046,SCHEDULE,When does the driver reach customer 42 after the new orders came in?,clean,none,customer_arrival,answerable,customer_schedule[].arrival,,,,direct_answer,current,easy,"The phrase 'reach customer' routes the SCHEDULE branch to customer_arrival; 'the driver' suppresses the new_customer_assignment classification per intent.py heuristic. The payload supplies customer_schedule[].arrival, so the question is answerable with no warnings.","R2-1 cleanup (disagreement log D-012): the earlier gold listed customer_schedule[].customer_id in addition to customer_schedule[].arrival, which over-specified the evidence set — the contract emits a single customer_schedule[customer_id=42].arrival item that normalises to customer_schedule[].arrival, with the customer identifier conveyed through the (stripped) predicate. Whether the cited entity is customer 42 specifically is a convention-consistency / future evidence_specificity concern, not an evidence-recall concern."
R2-008,046,SCHEDULE,When does the driver reach customer 999 after the new orders came in?,false_premise_customer,"Reuse the seed payload of Run 1 prompt 046 (SCHEDULE, RC201 with OC_3 perturbation) without mutation. The false premise is in the prompt text: customer_id=999 does not appear in customer_schedule, routes, or any perturbation field of the 046 payload (max customer_id is well below 999).",customer_arrival,not_answerable,,,false_premise_detected,clarify_false_premise,useful_refusal,target_extension,hard,"Target behavior under the planned false-premise policy extension: intent stays customer_arrival (same classifier as R2-007), but the contract should detect that customer_id=999 is absent from customer_schedule and routes and refuse with false_premise_detected + clarify_false_premise rather than silently answering against the nearest customer. expected_missing_fields is empty per schema §12 — the issue is a non-existent entity, not an absent required field.","Current contract behaviour: refusal_policy.py does not emit false_premise_detected, and answerability.py would currently mark this answerable because customer_schedule[].customer_id and customer_schedule[].arrival both exist for *some* customer. implementation_status=target_extension records the divergence. R2-1 cleanup (D-014): source_prompt_id was backfilled from the rationale-text inference 046 to an explicit CSV value."
R2-009,032,STRUCT,Are customers 12 and 17 still on the same route after the new orders came in?,same_route_boolean,"Reuse the seed payload of Run 1 prompt 032 (STRUCT, RC107 with TW_1 perturbation) without mutation. The seed contains both customer 12 and customer 17 in its routes[].customer_ids (verified). The prompt frames the question with 'after the new orders came in' wording but the perturbation type does not affect the contract's same_route_boolean intent classification or its evidence extraction — both depend only on prompt_text + family + routes[].customer_ids — so the seed is structurally valid even though its perturbation is TW rather than OC.",same_route_boolean,answerable,routes[].customer_ids,,,,direct_answer,current,medium,"The phrase 'same route' routes STRUCT to same_route_boolean (intent.py checks 'same route' before the comparative branch). The payload's routes[].customer_ids contains both customer IDs, so the question is answerable. Per refusal_policy.py, struct_membership_ambiguity does NOT fire for same_route_boolean (only for single_customer_route_membership), and no integer route reference appears in the prompt.","R2-1 cleanup (D-014): source_prompt_id backfilled from rationale-text inference to an explicit CSV value (032). Gold warning set is fixed per design §5a: even if a system's answer text mentions 'both on Route N', warning gold remains empty for this case — route numbers in the answer are graded by convention consistency (metric 6.8), not by dynamic warning addition."
R2-010,028,STRUCT,List all the customers assigned to each route after the new orders came in.,full_route_membership,"Reuse the seed payload of Run 1 prompt 028 (STRUCT, R102 with OC_1 perturbation, sufficient/escalate/pyvrp_10s) without mutation. The seed contains 18 routes with full routes[].customer_ids rosters, which is the field the target full_route_listing intent grounds against.",full_route_listing,answerable,routes[].customer_ids,,,,direct_answer,target_extension,hard,"Target behavior per R2-0 revision: re-labeled as a full_route_listing case under the proposed Stage R2-1 intent extension (see run2_gold_schema.md §3.2). The question is operationally meaningful and the payload supplies routes[].customer_ids for every route, so the target contract should answer directly with that evidence and no warnings.","R2-1 cleanup (D-013): source_prompt_id backfilled from blank to 028 — the case previously triggered skipped_no_seed in the materializer because its rationale named no specific Run 1 prompt. Current contract still routes to 'unknown' because intent.py's STRUCT branch has no matcher for 'each route' / 'list all customers' / 'per vehicle' phrasing, so answerability sets status=not_answerable and the refusal layer suggests narrow_question_to_available_field. implementation_status=target_extension records that the current contract is one intent value short of being able to score this case."
